        Frequency / GHz                S1,1/abs,dB
                  0.7043                      -20.576709
                  0.7052                      -20.567208
                  0.7061                      -20.557724
                   0.707                      -20.548256
                  0.7079                      -20.538803
                  0.7088                      -20.529367
                  0.7097                      -20.519947
                  0.7106                      -20.510542
                  0.7115                      -20.501154
                  0.7124                       -20.49178
                  0.7133                      -20.482424
                  0.7142                      -20.473083
                  0.7151                      -20.463758
                   0.716                      -20.454448
                  0.7169                      -20.445153
                  0.7178                      -20.435875
                  0.7187                      -20.426613
                  0.7196                      -20.417366
                  0.7205                      -20.408134
                  0.7214                      -20.398917
                  0.7223                      -20.389717
                  0.7232                      -20.380532
                  0.7241                      -20.371362
                   0.725                      -20.362208
                  0.7259                      -20.353068
                  0.7268                      -20.343944
                  0.7277                      -20.334836
                  0.7286                      -20.325743
                  0.7295                      -20.316665
                  0.7304                      -20.307601
                  0.7313                      -20.298553
                  0.7322                      -20.289521
                  0.7331                      -20.280504
                   0.734                      -20.271501
                  0.7349                      -20.262513
                  0.7358                      -20.253541
                  0.7367                      -20.244583
                  0.7376                      -20.235641
                  0.7385                      -20.226713
                  0.7394                        -20.2178
                  0.7403                      -20.208901
                  0.7412                      -20.200018
                  0.7421                       -20.19115
                   0.743                      -20.182296
                  0.7439                      -20.173457
                  0.7448                      -20.164632
                  0.7457                      -20.155823
                  0.7466                      -20.147028
                  0.7475                      -20.138247
                  0.7484                       -20.12948
                  0.7493                      -20.120729
                  0.7502                      -20.111992
                  0.7511                       -20.10327
                   0.752                      -20.094562
                  0.7529                      -20.085867
                  0.7538                      -20.077188
                  0.7547                      -20.068523
                  0.7556                      -20.059873
                  0.7565                      -20.051236
                  0.7574                      -20.042613
                  0.7583                      -20.034005
                  0.7592                      -20.025412
                  0.7601                      -20.016832
                   0.761                      -20.008267
                  0.7619                      -19.999715
                  0.7628                      -19.991177
                  0.7637                      -19.982655
                  0.7646                      -19.974146
                  0.7655                       -19.96565
                  0.7664                      -19.957168
                  0.7673                      -19.948701
                  0.7682                      -19.940248
                  0.7691                      -19.931809
                    0.77                      -19.923383
                  0.7709                      -19.914971
                  0.7718                      -19.906572
                  0.7727                      -19.898188
                  0.7736                      -19.889818
                  0.7745                      -19.881461
                  0.7754                      -19.873118
                  0.7763                      -19.864788
                  0.7772                      -19.856473
                  0.7781                      -19.848171
                   0.779                      -19.839882
                  0.7799                      -19.831606
                  0.7808                      -19.823345
                  0.7817                      -19.815097
                  0.7826                      -19.806863
                  0.7835                      -19.798642
                  0.7844                      -19.790433
                  0.7853                      -19.782239
                  0.7862                      -19.774058
                  0.7871                      -19.765891
                   0.788                      -19.757737
                  0.7889                      -19.749595
                  0.7898                      -19.741468
                  0.7907                      -19.733353
                  0.7916                      -19.725253
                  0.7925                      -19.717165
                  0.7934                      -19.709089
                  0.7943                      -19.701027
                  0.7952                      -19.692979
                  0.7961                      -19.684944
                   0.797                      -19.676921
                  0.7979                      -19.668911
                  0.7988                      -19.660915
                  0.7997                      -19.652932
                  0.8006                      -19.644962
                  0.8015                      -19.637004
                  0.8024                      -19.629059
                  0.8033                      -19.621127
                  0.8042                      -19.613209
                  0.8051                      -19.605303
                   0.806                       -19.59741
                  0.8069                      -19.589529
                  0.8078                      -19.581661
                  0.8087                      -19.573807
                  0.8096                      -19.565965
                  0.8105                      -19.558136
                  0.8114                      -19.550319
                  0.8123                      -19.542514
                  0.8132                      -19.534723
                  0.8141                      -19.526945
                   0.815                      -19.519179
                  0.8159                      -19.511424
                  0.8168                      -19.503683
                  0.8177                      -19.495955
                  0.8186                      -19.488239
                  0.8195                      -19.480536
                  0.8204                      -19.472844
                  0.8213                      -19.465165
                  0.8222                      -19.457499
                  0.8231                      -19.449845
                   0.824                      -19.442204
                  0.8249                      -19.434574
                  0.8258                      -19.426957
                  0.8267                      -19.419352
                  0.8276                       -19.41176
                  0.8285                       -19.40418
                  0.8294                      -19.396612
                  0.8303                      -19.389056
                  0.8312                      -19.381513
                  0.8321                      -19.373981
                   0.833                      -19.366462
                  0.8339                      -19.358954
                  0.8348                      -19.351459
                  0.8357                      -19.343977
                  0.8366                      -19.336506
                  0.8375                      -19.329047
                  0.8384                        -19.3216
                  0.8393                      -19.314165
                  0.8402                      -19.306742
                  0.8411                      -19.299331
                   0.842                      -19.291932
                  0.8429                      -19.284544
                  0.8438                      -19.277169
                  0.8447                      -19.269806
                  0.8456                      -19.262455
                  0.8465                      -19.255115
                  0.8474                      -19.247786
                  0.8483                       -19.24047
                  0.8492                      -19.233166
                  0.8501                      -19.225873
                   0.851                      -19.218592
                  0.8519                      -19.211322
                  0.8528                      -19.204065
                  0.8537                      -19.196819
                  0.8546                      -19.189585
                  0.8555                      -19.182362
                  0.8564                       -19.17515
                  0.8573                      -19.167951
                  0.8582                      -19.160763
                  0.8591                      -19.153587
                    0.86                      -19.146422
                  0.8609                      -19.139268
                  0.8618                      -19.132125
                  0.8627                      -19.124995
                  0.8636                      -19.117876
                  0.8645                      -19.110769
                  0.8654                      -19.103672
                  0.8663                      -19.096587
                  0.8672                      -19.089513
                  0.8681                      -19.082451
                   0.869                      -19.075401
                  0.8699                       -19.06836
                  0.8708                      -19.061332
                  0.8717                      -19.054315
                  0.8726                      -19.047309
                  0.8735                      -19.040315
                  0.8744                      -19.033331
                  0.8753                      -19.026358
                  0.8762                      -19.019398
                  0.8771                      -19.012448
                   0.878                      -19.005509
                  0.8789                      -18.998581
                  0.8798                      -18.991664
                  0.8807                      -18.984759
                  0.8816                      -18.977865
                  0.8825                      -18.970982
                  0.8834                      -18.964109
                  0.8843                      -18.957247
                  0.8852                      -18.950397
                  0.8861                      -18.943558
                   0.887                      -18.936729
                  0.8879                      -18.929911
                  0.8888                      -18.923104
                  0.8897                      -18.916309
                  0.8906                      -18.909524
                  0.8915                       -18.90275
                  0.8924                      -18.895987
                  0.8933                      -18.889234
                  0.8942                      -18.882493
                  0.8951                      -18.875762
                   0.896                      -18.869042
                  0.8969                      -18.862333
                  0.8978                      -18.855634
                  0.8987                      -18.848946
                  0.8996                       -18.84227
                  0.9005                      -18.835603
                  0.9014                      -18.828947
                  0.9023                      -18.822302
                  0.9032                      -18.815668
                  0.9041                      -18.809044
                   0.905                      -18.802431
                  0.9059                      -18.795828
                  0.9068                      -18.789235
                  0.9077                      -18.782654
                  0.9086                      -18.776083
                  0.9095                      -18.769523
                  0.9104                      -18.762972
                  0.9113                      -18.756433
                  0.9122                      -18.749904
                  0.9131                      -18.743386
                   0.914                      -18.736878
                  0.9149                      -18.730379
                  0.9158                      -18.723892
                  0.9167                      -18.717415
                  0.9176                      -18.710949
                  0.9185                      -18.704493
                  0.9194                      -18.698046
                  0.9203                       -18.69161
                  0.9212                      -18.685185
                  0.9221                      -18.678771
                   0.923                      -18.672366
                  0.9239                      -18.665971
                  0.9248                      -18.659587
                  0.9257                      -18.653213
                  0.9266                      -18.646849
                  0.9275                      -18.640496
                  0.9284                      -18.634152
                  0.9293                      -18.627818
                  0.9302                      -18.621495
                  0.9311                      -18.615183
                   0.932                       -18.60888
                  0.9329                      -18.602586
                  0.9338                      -18.596304
                  0.9347                      -18.590031
                  0.9356                      -18.583769
                  0.9365                      -18.577517
                  0.9374                      -18.571273
                  0.9383                      -18.565041
                  0.9392                      -18.558819
                  0.9401                      -18.552606
                   0.941                      -18.546404
                  0.9419                       -18.54021
                  0.9428                      -18.534028
                  0.9437                      -18.527855
                  0.9446                      -18.521693
                  0.9455                       -18.51554
                  0.9464                      -18.509396
                  0.9473                      -18.503263
                  0.9482                      -18.497139
                  0.9491                      -18.491026
                    0.95                      -18.484922
                  0.9509                      -18.478828
                  0.9518                      -18.472744
                  0.9527                      -18.466669
                  0.9536                      -18.460605
                  0.9545                       -18.45455
                  0.9554                      -18.448504
                  0.9563                      -18.442469
                  0.9572                      -18.436443
                  0.9581                      -18.430428
                   0.959                      -18.424421
                  0.9599                      -18.418424
                  0.9608                      -18.412437
                  0.9617                      -18.406459
                  0.9626                      -18.400492
                  0.9635                      -18.394534
                  0.9644                      -18.388584
                  0.9653                      -18.382645
                  0.9662                      -18.376716
                  0.9671                      -18.370796
                   0.968                      -18.364886
                  0.9689                      -18.358984
                  0.9698                      -18.353093
                  0.9707                      -18.347211
                  0.9716                      -18.341339
                  0.9725                      -18.335476
                  0.9734                      -18.329622
                  0.9743                      -18.323777
                  0.9752                      -18.317943
                  0.9761                      -18.312118
                   0.977                      -18.306302
                  0.9779                      -18.300495
                  0.9788                      -18.294698
                  0.9797                       -18.28891
                  0.9806                      -18.283132
                  0.9815                      -18.277363
                  0.9824                      -18.271603
                  0.9833                      -18.265852
                  0.9842                      -18.260111
                  0.9851                      -18.254379
                   0.986                      -18.248657
                  0.9869                      -18.242943
                  0.9878                      -18.237239
                  0.9887                      -18.231544
                  0.9896                      -18.225859
                  0.9905                      -18.220182
                  0.9914                      -18.214514
                  0.9923                      -18.208856
                  0.9932                      -18.203207
                  0.9941                      -18.197568
                   0.995                      -18.191937
                  0.9959                      -18.186315
                  0.9968                      -18.180702
                  0.9977                      -18.175099
                  0.9986                      -18.169505
                  0.9995                       -18.16392
                  1.0004                      -18.158343
                  1.0013                      -18.152776
                  1.0022                      -18.147218
                  1.0031                      -18.141669
                   1.004                       -18.13613
                  1.0049                      -18.130598
                  1.0058                      -18.125076
                  1.0067                      -18.119563
                  1.0076                      -18.114059
                  1.0085                      -18.108564
                  1.0094                      -18.103077
                  1.0103                        -18.0976
                  1.0112                      -18.092132
                  1.0121                      -18.086673
                   1.013                      -18.081222
                  1.0139                       -18.07578
                  1.0148                      -18.070347
                  1.0157                      -18.064923
                  1.0166                      -18.059509
                  1.0175                      -18.054102
                  1.0184                      -18.048704
                  1.0193                      -18.043316
                  1.0202                      -18.037936
                  1.0211                      -18.032565
                   1.022                      -18.027203
                  1.0229                      -18.021849
                  1.0238                      -18.016504
                  1.0247                      -18.011168
                  1.0256                      -18.005842
                  1.0265                      -18.000523
                  1.0274                      -17.995212
                  1.0283                      -17.989911
                  1.0292                      -17.984619
                  1.0301                      -17.979336
                   1.031                       -17.97406
                  1.0319                      -17.968793
                  1.0328                      -17.963535
                  1.0337                      -17.958286
                  1.0346                      -17.953046
                  1.0355                      -17.947814
                  1.0364                       -17.94259
                  1.0373                      -17.937375
                  1.0382                      -17.932169
                  1.0391                      -17.926972
                    1.04                      -17.921783
                  1.0409                      -17.916602
                  1.0418                      -17.911429
                  1.0427                      -17.906266
                  1.0436                      -17.901111
                  1.0445                      -17.895965
                  1.0454                      -17.890826
                  1.0463                      -17.885697
                  1.0472                      -17.880576
                  1.0481                      -17.875463
                   1.049                      -17.870359
                  1.0499                      -17.865263
                  1.0508                      -17.860175
                  1.0517                      -17.855096
                  1.0526                      -17.850026
                  1.0535                      -17.844964
                  1.0544                       -17.83991
                  1.0553                      -17.834864
                  1.0562                      -17.829827
                  1.0571                      -17.824799
                   1.058                      -17.819779
                  1.0589                      -17.814766
                  1.0598                      -17.809762
                  1.0607                      -17.804767
                  1.0616                       -17.79978
                  1.0625                      -17.794801
                  1.0634                       -17.78983
                  1.0643                      -17.784867
                  1.0652                      -17.779914
                  1.0661                      -17.774968
                   1.067                      -17.770031
                  1.0679                      -17.765101
                  1.0688                      -17.760179
                  1.0697                      -17.755267
                  1.0706                      -17.750362
                  1.0715                      -17.745466
                  1.0724                      -17.740577
                  1.0733                      -17.735696
                  1.0742                      -17.730825
                  1.0751                      -17.725961
                   1.076                      -17.721105
                  1.0769                      -17.716257
                  1.0778                      -17.711417
                  1.0787                      -17.706586
                  1.0796                      -17.701763
                  1.0805                      -17.696948
                  1.0814                       -17.69214
                  1.0823                      -17.687341
                  1.0832                       -17.68255
                  1.0841                      -17.677767
                   1.085                      -17.672992
                  1.0859                      -17.668224
                  1.0868                      -17.663465
                  1.0877                      -17.658714
                  1.0886                      -17.653972
                  1.0895                      -17.649237
                  1.0904                      -17.644511
                  1.0913                      -17.639792
                  1.0922                      -17.635081
                  1.0931                      -17.630377
                   1.094                      -17.625682
                  1.0949                      -17.620994
                  1.0958                      -17.616315
                  1.0967                      -17.611644
                  1.0976                      -17.606981
                  1.0985                      -17.602325
                  1.0994                      -17.597677
                  1.1003                      -17.593037
                  1.1012                      -17.588405
                  1.1021                      -17.583782
                   1.103                      -17.579166
                  1.1039                      -17.574556
                  1.1048                      -17.569955
                  1.1057                      -17.565363
                  1.1066                      -17.560778
                  1.1075                      -17.556202
                  1.1084                      -17.551633
                  1.1093                      -17.547071
                  1.1102                      -17.542517
                  1.1111                      -17.537971
                   1.112                      -17.533433
                  1.1129                      -17.528902
                  1.1138                      -17.524379
                  1.1147                      -17.519865
                  1.1156                      -17.515358
                  1.1165                      -17.510858
                  1.1174                      -17.506366
                  1.1183                      -17.501882
                  1.1192                      -17.497405
                  1.1201                      -17.492937
                   1.121                      -17.488476
                  1.1219                      -17.484022
                  1.1228                      -17.479576
                  1.1237                      -17.475137
                  1.1246                      -17.470707
                  1.1255                      -17.466285
                  1.1264                       -17.46187
                  1.1273                      -17.457463
                  1.1282                      -17.453063
                  1.1291                       -17.44867
                    1.13                      -17.444285
                  1.1309                      -17.439908
                  1.1318                      -17.435538
                  1.1327                      -17.431176
                  1.1336                      -17.426822
                  1.1345                      -17.422475
                  1.1354                      -17.418135
                  1.1363                      -17.413803
                  1.1372                      -17.409479
                  1.1381                      -17.405162
                   1.139                      -17.400853
                  1.1399                       -17.39655
                  1.1408                      -17.392256
                  1.1417                      -17.387969
                  1.1426                       -17.38369
                  1.1435                      -17.379419
                  1.1444                      -17.375154
                  1.1453                      -17.370897
                  1.1462                      -17.366648
                  1.1471                      -17.362405
                   1.148                      -17.358171
                  1.1489                      -17.353943
                  1.1498                      -17.349723
                  1.1507                       -17.34551
                  1.1516                      -17.341306
                  1.1525                      -17.337108
                  1.1534                      -17.332917
                  1.1543                      -17.328734
                  1.1552                      -17.324559
                  1.1561                      -17.320391
                   1.157                       -17.31623
                  1.1579                      -17.312075
                  1.1588                      -17.307929
                  1.1597                       -17.30379
                  1.1606                      -17.299659
                  1.1615                      -17.295535
                  1.1624                      -17.291418
                  1.1633                      -17.287309
                  1.1642                      -17.283206
                  1.1651                      -17.279111
                   1.166                      -17.275023
                  1.1669                      -17.270942
                  1.1678                      -17.266868
                  1.1687                      -17.262803
                  1.1696                      -17.258744
                  1.1705                      -17.254692
                  1.1714                      -17.250647
                  1.1723                       -17.24661
                  1.1732                      -17.242581
                  1.1741                      -17.238558
                   1.175                      -17.234543
                  1.1759                      -17.230533
                  1.1768                      -17.226532
                  1.1777                      -17.222538
                  1.1786                      -17.218551
                  1.1795                      -17.214572
                  1.1804                        -17.2106
                  1.1813                      -17.206635
                  1.1822                      -17.202676
                  1.1831                      -17.198725
                   1.184                      -17.194781
                  1.1849                      -17.190843
                  1.1858                      -17.186914
                  1.1867                      -17.182991
                  1.1876                      -17.179076
                  1.1885                      -17.175167
                  1.1894                      -17.171265
                  1.1903                      -17.167371
                  1.1912                      -17.163484
                  1.1921                      -17.159604
                   1.193                      -17.155731
                  1.1939                      -17.151864
                  1.1948                      -17.148004
                  1.1957                      -17.144152
                  1.1966                      -17.140308
                  1.1975                      -17.136471
                  1.1984                       -17.13264
