        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.5                      -4.2479592
                  0.5009                      -4.2493879
                  0.5018                      -4.2508199
                  0.5027                      -4.2522551
                  0.5036                      -4.2536936
                  0.5045                      -4.2551353
                  0.5054                      -4.2565801
                  0.5063                      -4.2580282
                  0.5072                      -4.2594795
                  0.5081                       -4.260934
                   0.509                      -4.2623916
                  0.5099                      -4.2638523
                  0.5108                      -4.2653162
                  0.5117                      -4.2667832
                  0.5126                      -4.2682533
                  0.5135                      -4.2697264
                  0.5144                      -4.2712026
                  0.5153                      -4.2726818
                  0.5162                      -4.2741641
                  0.5171                      -4.2756495
                   0.518                      -4.2771378
                  0.5189                      -4.2786291
                  0.5198                      -4.2801233
                  0.5207                      -4.2816206
                  0.5216                      -4.2831209
                  0.5225                       -4.284624
                  0.5234                      -4.2861301
                  0.5243                      -4.2876391
                  0.5252                       -4.289151
                  0.5261                      -4.2906658
                   0.527                      -4.2921835
                  0.5279                      -4.2937039
                  0.5288                      -4.2952273
                  0.5297                      -4.2967535
                  0.5306                      -4.2982826
                  0.5315                      -4.2998145
                  0.5324                       -4.301349
                  0.5333                      -4.3028865
                  0.5342                      -4.3044267
                  0.5351                      -4.3059697
                   0.536                      -4.3075154
                  0.5369                      -4.3090638
                  0.5378                       -4.310615
                  0.5387                       -4.312169
                  0.5396                      -4.3137256
                  0.5405                      -4.3152849
                  0.5414                      -4.3168468
                  0.5423                      -4.3184115
                  0.5432                      -4.3199788
                  0.5441                      -4.3215488
                   0.545                      -4.3231215
                  0.5459                      -4.3246966
                  0.5468                      -4.3262744
                  0.5477                      -4.3278549
                  0.5486                       -4.329438
                  0.5495                      -4.3310237
                  0.5504                      -4.3326119
                  0.5513                      -4.3342026
                  0.5522                      -4.3357959
                  0.5531                      -4.3373918
                   0.554                      -4.3389903
                  0.5549                      -4.3405912
                  0.5558                      -4.3421947
                  0.5567                      -4.3438006
                  0.5576                       -4.345409
                  0.5585                      -4.3470199
                  0.5594                      -4.3486333
                  0.5603                      -4.3502491
                  0.5612                      -4.3518675
                  0.5621                      -4.3534883
                   0.563                      -4.3551115
                  0.5639                      -4.3567371
                  0.5648                      -4.3583651
                  0.5657                      -4.3599956
                  0.5666                      -4.3616285
                  0.5675                      -4.3632638
                  0.5684                      -4.3649013
                  0.5693                      -4.3665413
                  0.5702                      -4.3681838
                  0.5711                      -4.3698285
                   0.572                      -4.3714756
                  0.5729                       -4.373125
                  0.5738                      -4.3747767
                  0.5747                      -4.3764308
                  0.5756                      -4.3780873
                  0.5765                       -4.379746
                  0.5774                      -4.3814069
                  0.5783                      -4.3830702
                  0.5792                      -4.3847358
                  0.5801                      -4.3864037
                   0.581                      -4.3880739
                  0.5819                      -4.3897463
                  0.5828                      -4.3914209
                  0.5837                      -4.3930977
                  0.5846                      -4.3947769
                  0.5855                      -4.3964583
                  0.5864                      -4.3981419
                  0.5873                      -4.3998277
                  0.5882                      -4.4015157
                  0.5891                      -4.4032059
                    0.59                      -4.4048983
                  0.5909                      -4.4065928
                  0.5918                      -4.4082896
                  0.5927                      -4.4099886
                  0.5936                      -4.4116897
                  0.5945                       -4.413393
                  0.5954                      -4.4150984
                  0.5963                      -4.4168059
                  0.5972                      -4.4185157
                  0.5981                      -4.4202275
                   0.599                      -4.4219415
                  0.5999                      -4.4236576
                  0.6008                      -4.4253758
                  0.6017                      -4.4270961
                  0.6026                      -4.4288186
                  0.6035                      -4.4305431
                  0.6044                      -4.4322697
                  0.6053                      -4.4339983
                  0.6062                      -4.4357291
                  0.6071                       -4.437462
                   0.608                      -4.4391969
                  0.6089                      -4.4409338
                  0.6098                      -4.4426728
                  0.6107                      -4.4444139
                  0.6116                       -4.446157
                  0.6125                      -4.4479023
                  0.6134                      -4.4496494
                  0.6143                      -4.4513986
                  0.6152                      -4.4531498
                  0.6161                      -4.4549031
                   0.617                      -4.4566584
                  0.6179                      -4.4584157
                  0.6188                      -4.4601749
                  0.6197                      -4.4619362
                  0.6206                      -4.4636994
                  0.6215                      -4.4654647
                  0.6224                      -4.4672318
                  0.6233                       -4.469001
                  0.6242                      -4.4707722
                  0.6251                      -4.4725453
                   0.626                      -4.4743204
                  0.6269                      -4.4760974
                  0.6278                      -4.4778764
                  0.6287                      -4.4796573
                  0.6296                      -4.4814402
                  0.6305                       -4.483225
                  0.6314                      -4.4850117
                  0.6323                      -4.4868004
                  0.6332                       -4.488591
                  0.6341                      -4.4903835
                   0.635                       -4.492178
                  0.6359                      -4.4939742
                  0.6368                      -4.4957725
                  0.6377                      -4.4975726
                  0.6386                      -4.4993747
                  0.6395                      -4.5011786
                  0.6404                      -4.5029844
                  0.6413                      -4.5047921
                  0.6422                      -4.5066017
                  0.6431                      -4.5084132
                   0.644                      -4.5102265
                  0.6449                      -4.5120416
                  0.6458                      -4.5138586
                  0.6467                      -4.5156776
                  0.6476                      -4.5174984
                  0.6485                      -4.5193211
                  0.6494                      -4.5211456
                  0.6503                      -4.5229719
                  0.6512                      -4.5248001
                  0.6521                      -4.5266301
                   0.653                      -4.5284619
                  0.6539                      -4.5302956
                  0.6548                      -4.5321311
                  0.6557                      -4.5339684
                  0.6566                      -4.5358076
                  0.6575                      -4.5376486
                  0.6584                      -4.5394913
                  0.6593                      -4.5413359
                  0.6602                      -4.5431823
                  0.6611                      -4.5450306
                   0.662                      -4.5468806
                  0.6629                      -4.5487324
                  0.6638                       -4.550586
                  0.6647                      -4.5524414
                  0.6656                      -4.5542987
                  0.6665                      -4.5561576
                  0.6674                      -4.5580184
                  0.6683                      -4.5598809
                  0.6692                      -4.5617453
                  0.6701                      -4.5636114
                   0.671                      -4.5654793
                  0.6719                      -4.5673489
                  0.6728                      -4.5692203
                  0.6737                      -4.5710935
                  0.6746                      -4.5729685
                  0.6755                      -4.5748452
                  0.6764                      -4.5767236
                  0.6773                      -4.5786038
                  0.6782                      -4.5804858
                  0.6791                      -4.5823695
                    0.68                      -4.5842551
                  0.6809                      -4.5861423
                  0.6818                      -4.5880313
                  0.6827                       -4.589922
                  0.6836                      -4.5918144
                  0.6845                      -4.5937086
                  0.6854                      -4.5956044
                  0.6863                      -4.5975021
                  0.6872                      -4.5994015
                  0.6881                      -4.6013026
                   0.689                      -4.6032054
                  0.6899                      -4.6051099
                  0.6908                      -4.6070162
                  0.6917                      -4.6089242
                  0.6926                       -4.610834
                  0.6935                      -4.6127454
                  0.6944                      -4.6146585
                  0.6953                      -4.6165733
                  0.6962                      -4.6184899
                  0.6971                      -4.6204082
                   0.698                      -4.6223282
                  0.6989                      -4.6242499
                  0.6998                      -4.6261732
                  0.7007                      -4.6280984
                  0.7016                      -4.6300252
                  0.7025                      -4.6319537
